daterecorded,user_comment,altitude,general_condition,precipitation_amount,fog_thickness,longitude,thunderstorm_intensity,windy,precipitation_type,latitude,cloud_type,precipitation_unit,tzoffset
1401603782016,-,0.0,Clear,0.0,-,16.5935761,-,1,-,40.6862128,-,-,7200000
1401604940402,-,0.0,Clear,0.0,-,16.5853908,-,1,-,40.6831843,-,-,7200000
1401605156456,-,0.0,Precipitation,0.0,-,24.9335477,-,-,Rain,54.7538519,-,-,10800000
1401606675937,-,0.0,Clear,0.0,Light Fog,-96.7652333,-,1,-,32.933889,Mostly Cloudy,-,-18000000
1401608221642,-,0.0,Cloudy,0.0,-,-3.604797,-,1,-,37.1996994,Mostly Cloudy,-,7200000
1401609603061,-,0.0,Cloudy,0.0,-,-5.9092295,-,1,-,54.408018,Mostly Cloudy,-,3600000
1401611223324,-,0.0,Cloudy,0.0,-,8.939735,-,1,-,52.2347362,Very Cloudy,-,7200000
1401613096357,-,0.0,Precipitation,1.0,-,-21.9100779,-,1,Rain,64.1147577,-,-,0
1401614181037,-,0.0,Clear,0.0,-,-122.4319848,-,0,-,48.9582558,-,-,-25200000
1401616084995,-,0.0,Cloudy,0.0,-,8.4915665,-,1,-,47.9536212,Partly Cloudy,-,7200000
1401617555792,-,0.0,Cloudy,0.0,-,16.1675166,-,1,-,47.8297531,Mostly Cloudy,-,7200000
1401624402453,-,0.0,Thunderstorm,0.0,-,30.3286029,Infrequent Lightning,-,-,50.2548889,Mostly Cloudy,-,10800000
1401625426705,-,0.0,Cloudy,0.0,-,19.4320462,-,1,-,51.760932,Partly Cloudy,-,7200000
1401628858629,-,0.0,Clear,0.0,-,-111.6801064,-,1,-,33.2346287,-,-,-25200000
1401629791314,-,0.0,Cloudy,0.0,-,-80.1754356,-,-,-,43.5163371,Partly Cloudy,-,-14400000
1401630057118,-,0.0,Clear,0.0,-,-79.3854508,-,-,-,43.6902093,-,-,-14400000
1401631034871,-,0.0,Clear,0.0,-,-77.5688764,-,1,-,43.0978644,-,-,-14400000
1401631075730,-,0.0,Clear,0.0,-,-73.8589321,-,0,-,41.1498797,-,-,-14400000
1401633378859,-,0.0,Clear,0.0,-,5.3801247,-,2,-,43.2351658,-,-,7200000
1401633498871,-,0.0,Cloudy,0.0,-,-97.191228,-,0,-,35.6581932,Mostly Cloudy,-,-18000000
1401635058143,-,0.0,Cloudy,0.0,-,-89.2489081,-,1,-,42.923723,Mostly Cloudy,-,-18000000
1401635083585,-,0.0,Cloudy,0.0,-,-75.9559421,-,1,-,41.1984451,Partly Cloudy,-,-14400000
1401635122922,-,0.0,Cloudy,0.0,-,-0.7939025,-,0,-,51.3793435,Mostly Cloudy,-,3600000
1401635958325,-,0.0,Clear,0.0,Light Fog,-91.9456545,-,1,-,38.8523713,Mostly Cloudy,-,-18000000
1401636084061,-,0.0,Cloudy,0.0,-,-81.3372243,-,0,-,28.8034392,Very Cloudy,-,-14400000
1401637598573,-,0.0,Cloudy,0.0,-,11.4286576,-,2,-,48.1767015,Mostly Cloudy,-,7200000
1401637970288,-,0.0,Cloudy,0.0,-,-88.6760161,-,1,-,41.9960606,Mostly Cloudy,-,-18000000
1401638058154,-,0.0,Clear,0.0,-,-97.5978947,-,1,-,41.1122603,-,-,-18000000
1401638275771,-,0.0,Clear,0.0,-,-86.2774089,-,1,-,43.2502794,-,-,-14400000
1401638976699,-,0.0,Clear,0.0,-,5.1123439,-,1,-,52.0714346,-,-,7200000
1401639286473,-,0.0,Clear,0.0,-,-84.1299878,-,1,-,39.7545492,-,-,-14400000
1401639640792,-,0.0,Cloudy,0.0,-,-122.3039457,-,0,-,47.6053964,Very Cloudy,-,-25200000
1401640096862,-,0.0,Clear,0.0,-,4.6989803,-,1,-,44.3707838,-,-,7200000
1401640196400,-,0.0,Clear,0.0,-,-84.0511742,-,1,-,39.7620932,-,-,-14400000
1401640316912,-,0.0,Cloudy,0.0,-,7.6319803,-,0,-,49.5483787,Very Cloudy,-,7200000
1401640901442,-,0.0,Thunderstorm,0.0,-,-93.5147914,Frequent Lightning,1,-,44.0719874,-,-,-18000000
